"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bosnia and Herzegovina","BIH","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.97355399210274","11.5683503113138","9.7833871795291","8.33915637795316","8.20166953377955","6.83023880176609","6.19854035063862","5.91663159488301","6.19059151192012","6.52261694031888","6.95511446243638","7.13087132006453","7.03729872979776","7.07554567974228","5.64966641602877","5.26477492445124","4.86256479335995","4.94592788101686","4.92396526696738",
"Bosnia and Herzegovina","BIH","Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports)","TM.VAL.MRCH.R3.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00585248270466482","0.0396794991491111","0.0132896904066426","0.0060865600980212","0.0530065536846976","1.86251106902006","1.74869422977869","1.47160317780068","0.797548689857791","1.25093054387542","1.56564500914481","1.477495397836","1.82530414098255","2.00170192845386","2.27528458303296","2.58742823157774","2.71135004503259","2.45111273367327","2.39265081187768","1.70943518355816","1.92709396000827","2.01676676739166","1.8203855726614","1.47870341975242","1.66095761445279","1.68615984980199","",
"Bosnia and Herzegovina","BIH","Tariff rate, applied, weighted mean, primary products (%)","TM.TAX.TCOM.WM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.27","","","","","11.04","6.45","5.68","5.56","4.1","3.33","3.05","3.03","3.35","0.88","0.89","3.68","4.34","54.5","4.77","",
"Bosnia and Herzegovina","BIH","Tariff rate, applied, weighted mean, manufactured products (%)","TM.TAX.MANF.WM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.98","","","","","7.57","6.32","6.14","2.47","2.27","1.96","1.94","1.93","2.11","1.41","1.41","1.96","2.02","2.08","2.08","",
"Bosnia and Herzegovina","BIH","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","257000000","258000000","246000000","279000000","307000000","404000000","507000000","557000000","658000000","804000000","913000000","753000000","662000000","722000000","686000000","752000000","755000000","794000000","875000000","984000000","1147000000","1225000000","438000000","",
"Bosnia and Herzegovina","BIH","Population, male (% of total population)","SP.POP.TOTL.MA.ZS","49.0564733338624","49.1177411448748","49.1798052503438","49.235232136958","49.2741446605762","49.291017843486","49.2843142448482","49.2587837402599","49.2234416049418","49.1898535457929","49.1665017965524","49.1550175203651","49.1534872803028","49.1625781093841","49.1824532414596","49.2125054609575","49.2542241255309","49.3059144691311","49.3615308918374","49.412537305355","49.4532339677261","49.4807197383338","49.4959770776541","49.5036452736793","49.5100407625123","49.5191290795934","49.5341332416576","49.5518489051049","49.5637838837538","49.5572027182103","49.5245576152109","49.4587258429229","49.3620078829895","49.2468141232771","49.1375011526658","49.05675012255","49.0170196250736","49.0149809826904","49.039321025574","49.0704723813116","49.0942307159142","49.1080581779218","49.1155344658401","49.1180244214855","49.1186426629446","49.1195729885173","49.1205501003606","49.119842159716","49.1173096383017","49.1120720460285","49.1039752496169","49.0924356756701","49.0779678732595","49.0611974601691","49.0440268044683","49.0278658246053","49.0134109488838","49.0006068862795","48.9894639747119","48.9790966247177","48.9698139029479","48.9611482785597",
"Bosnia and Herzegovina","BIH","Population ages 70-74, male (% of male population)","SP.POP.7074.MA.5Y","0.85768615587618","0.857679868853108","0.846698615193277","0.840341128576947","0.856586011234087","0.902080563523491","0.959750990865818","1.02732013235625","1.0929801424069","1.1460001826513","1.18652794814714","1.23962236612993","1.27561046732764","1.30141394044759","1.32947818870782","1.36637753668599","1.44274029867609","1.53175214835639","1.61600950198567","1.67028997200129","1.68262241596926","1.63867261630976","1.57311801369337","1.49200190755665","1.39756087256676","1.29189354958994","1.18304444051032","1.06582786821361","0.96758028867234","0.922089089768835","0.945582201231401","1.02007857437032","1.139616408256","1.30598761019302","1.52240255057227","1.78709938793882","2.0283914099564","2.30402013068783","2.57937829753169","2.81052501495742","2.97875066992975","3.0867122856864","3.13889833647812","3.17694387382922","3.25346512912126","3.38959132529339","3.57153670315031","3.81127936992128","4.03884615551477","4.15385873119686","4.10835283921129","3.8782458039824","3.56473686263139","3.26954312355117","3.10358860850293","3.09645325195394","3.10738599151786","3.18753531692679","3.33756045137023","3.56389384209169","3.86945423559808","4.19607379271974",
"Bosnia and Herzegovina","BIH","Population ages 45-49, male (% of male population)","SP.POP.4549.MA.5Y","3.5532170498301","3.22103550574263","2.88816216737382","2.59852019136481","2.40887106700493","2.34921953763852","2.3828866187008","2.5277004246644","2.76926257280915","3.08494761899814","3.45730814246556","3.90384546500942","4.40042557327721","4.90017447871678","5.33905897267548","5.67757732497574","5.90820411012521","6.04080479506757","6.11181433973749","6.17805342932892","6.26959596453146","6.35653920690677","6.47934199045613","6.57380223214139","6.54211508347157","6.33647624516827","6.00719884476245","5.50092062695439","4.93767505122905","4.50614584307878","4.32130432619012","4.39711061031647","4.68972057960806","5.11771511409097","5.55081370058899","5.91022073490995","6.22575473957921","6.51779073564602","6.78214421059644","7.02462489404594","7.24773038388672","7.40768655178771","7.53345349222614","7.63723085781327","7.73694495329979","7.84200182209931","7.96709119180621","8.09510695637072","8.19699868546068","8.22694571615435","8.15658049272974","7.98632883024482","7.73588990118395","7.45350656284863","7.21463433200704","7.06381743641839","6.99568542461604","7.00980105609789","7.07650264834574","7.13978670199573","7.16266372216264","7.13131021067988",
"Bosnia and Herzegovina","BIH","Population ages 15-64, female (% of female population)","SP.POP.1564.FE.ZS","59.7170149464451","59.6357771036672","59.6344030368807","59.7327950577634","59.9238873224113","60.1966776415416","60.2475887638374","60.5048107569991","60.8929809576984","61.2945408726451","61.6448316917868","62.0675450706198","62.3445173750892","62.5624222088301","62.8506893487875","63.2646980932203","63.6216590662642","64.1121742153106","64.6844930809105","65.2485860109413","65.7548659845635","66.3415786675767","66.8522981176729","67.2969601017958","67.7055302310526","68.0854758369611","68.288165787259","68.426206715275","68.4940920734329","68.4953405427751","68.4606104400843","68.4686026871227","68.4295567734078","68.3530802940017","68.2229589614707","68.0038161794937","67.9169534595691","67.7899304717047","67.6366389847003","67.4982375822986","67.4082317176949","67.2736852349295","67.2335064520935","67.2834724028102","67.4038113626621","67.581611396078","67.8993812590496","68.1946436536897","68.4668494332474","68.7181672097604","68.9238422622977","68.8788688141628","68.907379918016","68.9874578636197","69.009621036768","68.8911276136015","68.5786022912878","68.0146168346339","67.3116279398946","66.6302497507717","66.0445608246536","65.6622231081055",
"Bosnia and Herzegovina","BIH","Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)","SP.MTR.1519.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Death rate, crude (per 1,000 people)","SP.DYN.CDRT.IN","9.656","9.293","8.964","8.657","8.367","8.088","7.822","7.572","7.344","7.137","6.949","6.779","6.626","6.491","6.374","6.281","6.219","6.189","6.193","6.225","6.276","6.331","6.381","6.425","6.468","6.53","6.643","6.823","7.073","7.38","7.711","8.025","8.282","8.457","8.542","8.545","8.486","8.404","8.332","8.289","8.289","8.341","8.437","8.565","8.722","8.899","9.086","9.271","9.446","9.606","9.747","9.87","9.981","10.088","10.194","10.305","10.427","10.563","10.712","10.877","11.054","",
"Bosnia and Herzegovina","BIH","Children in employment, wage workers, male (% of male children in employment, ages 7-14)","SL.WAG.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.24","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Unemployment with basic education, female (% of female labor force with basic education)","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.5699996948242","","","","","45.9599990844727","40.9500007629395","30.4099998474121","32.3800010681152","31.9200000762939","34","27.1900005340576","28.8099994659424","34.9500007629395","29.3099994659424","29.0400009155273","22.5300006866455","18.8899993896484","16.25","18.0400009155273","15.5500001907349",
"Bosnia and Herzegovina","BIH","Labor force with intermediate education, male (% of male working-age population with intermediate education)","SL.TLF.INTM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.25","","","","","66.2900009155273","68.3499984741211","66.2900009155273","65.2200012207031","65.4400024414063","64.4100036621094","65.8199996948242","63.2099990844727","63.8499984741211","63.2099990844727","62.5299987792969","60.8400001525879","61.0299987792969","58.4300003051758","65.8199996948242","68.8899993896484",
"Bosnia and Herzegovina","BIH","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.8","54.91","55.49","55.54","55.39","54.92","54.52","54.63","54.39","53.75","53.45","53.29","53.13","53.06","52.82","51.88","51.52","52.26","53.26","53.43","54.16","54.09","54.43","54.42","55.63","55.72","55.95","55.93","56.62","57.74","","",
"Bosnia and Herzegovina","BIH","Children in employment, study and work (% of children in employment, ages 7-14)","SL.TLF.0714.SW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.0396039604","","","","","","99.9","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Children in employment, self-employed, female (% of female children in employment, ages 7-14)","SL.SLF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.7999992370605","55.3499984741211","53.5","55.7099990844727","59.5499992370605","68.1399993896484","72.1699981689453","73.8499984741211","74.1699981689453","73.629997253418","73","72.6699981689453","72.370002746582","72.6800003051758","72.9499969482422","73.3099975585938","73.5500030517578","72.4700012207031","70.3300018310547","72.0699996948242","74.4599990844727","72.4199981689453","75.3000030517578","77.7600021362305","76.9800033569336","76.0800018310547","75.2699966430664","78.9000015258789","74.0199966430664","","",
"Bosnia and Herzegovina","BIH","Employers, female (% of female employment) (modeled ILO estimate)","SL.EMP.MPYR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0599999986588955","0.0599999986588955","0.0700000002980232","0.100000001490116","0.180000007152557","0.370000004768372","0.649999976158142","1.01999998092651","1.46000003814697","1.87000000476837","2.24000000953674","2.60999989509583","2.83999991416931","2.99000000953674","3.07999992370605","3.14000010490417","3.07999992370605","3.53999996185303","2.76999998092651","3.39000010490417","3.36999988555908","3.29999995231628","3.35999989509583","3.36999988555908","3.47000002861023","3.52999997138977","3.65000009536743","3.5","4.03000020980835","","",
